"ID","1885","Nuenen","painting","genre picture","peasant life","interior scene","1887","Paris","cityscape","street scene","1888","portrait","self-portrait","Arles","townscape","landscape (representation)","river landscape","1889","still life","Saint-Remy-de-Provence","1890","Auvers-sur-Oise","animal art","drawing","1884","1882","The Hague","1883","Drenthe","study","figure (representation)","heads","Antwerp","1886","cafe scene","seascape","coastal landscape","Nieuw Amsterdam","nude","Amsterdam","marine","1881","history (visual work)","religion","artists portrait","bathing scene","1871 - 1880","Brussels","Etten","sketch","Ramsgate","nature","flowers","Flenu","print","trial proof","allegory"
"s0005V1962","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=genre picture","https://vangoghmuseum.nl/en/collection?Genre=peasant life","https://vangoghmuseum.nl/en/collection?Genre=interior scene","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0019V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=genre picture","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","https://vangoghmuseum.nl/en/collection?Genre=cityscape","https://vangoghmuseum.nl/en/collection?Genre=street scene","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0022V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1888","https://vangoghmuseum.nl/en/collection?Genre=portrait","https://vangoghmuseum.nl/en/collection?Genre=self-portrait","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0027V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1888","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Arles","https://vangoghmuseum.nl/en/collection?Genre=townscape","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","https://vangoghmuseum.nl/en/collection?Genre=river landscape","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0029V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=genre picture","https://vangoghmuseum.nl/en/collection?Genre=peasant life","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1888","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Arles","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0031V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Arles","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1889","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0032V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=genre picture","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=cityscape","https://vangoghmuseum.nl/en/collection?Genre=street scene","https://vangoghmuseum.nl/en/collection?Date=1888","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Arles","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0047V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1888","localhost","localhost","https://vangoghmuseum.nl/en/collection?Place=Arles","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0049V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=genre picture","https://vangoghmuseum.nl/en/collection?Genre=peasant life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=landscape (representation)","localhost","https://vangoghmuseum.nl/en/collection?Date=1889","localhost","https://vangoghmuseum.nl/en/collection?Place=Saint-Rémy-de-Provence","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0050V1962","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","https://vangoghmuseum.nl/en/collection?Place=Saint-Rémy-de-Provence","https://vangoghmuseum.nl/en/collection?Date=1890","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
